police force area,ethnic group,population
Avon and Somerset,Asian,60732
Avon and Somerset,Black,37844
Avon and Somerset,Mixed,44435
Avon and Somerset,Other,16982
Avon and Somerset,White,1584583
Bedfordshire,Asian,116909
Bedfordshire,Black,39601
Bedfordshire,Mixed,27091
Bedfordshire,Other,13618
Bedfordshire,White,507517
Cambridgeshire,Asian,70491
Cambridgeshire,Black,18496
Cambridgeshire,Mixed,26970
Cambridgeshire,Other,14816
Cambridgeshire,White,763744
Cheshire,Asian,25152
Cheshire,Black,6616
Cheshire,Mixed,17476
Cheshire,Other,7943
Cheshire,White,1038185
Cleveland,Asian,26902
Cleveland,Black,6729
Cleveland,Mixed,7594
Cleveland,Other,6218
Cleveland,White,521940
Cumbria,Asian,4911
Cumbria,Black,1194
Cumbria,Mixed,4002
Cumbria,Other,1715
Cumbria,White,488025
Derbyshire,Asian,52574
Derbyshire,Black,14563
Derbyshire,Mixed,20412
Derbyshire,Other,10280
Derbyshire,White,958164
Devon & Cornwall,Asian,24081
Devon & Cornwall,Black,6768
Devon & Cornwall,Mixed,24762
Devon & Cornwall,Other,13168
Devon & Cornwall,White,1719233
Dorset,Asian,17856
Dorset,Black,5315
Dorset,Mixed,15529
Dorset,Other,7150
Dorset,White,733925
Durham,Asian,10800
Durham,Black,2441
Durham,Mixed,6421
Durham,Other,3005
Durham,White,607196
Dyfed-Powys,Asian,5823
Dyfed-Powys,Black,1286
Dyfed-Powys,Mixed,4920
Dyfed-Powys,Other,1907
Dyfed-Powys,White,501963
Essex,Asian,78321
Essex,Black,63422
Essex,Mixed,47579
Essex,Other,19260
Essex,White,1651617
Gloucestershire,Asian,18465
Gloucestershire,Black,7774
Gloucestershire,Mixed,14151
Gloucestershire,Other,4374
Gloucestershire,White,600306
Greater Manchester,Asian,389283
Greater Manchester,Black,134114
Greater Manchester,Mixed,86520
Greater Manchester,Other,66997
Greater Manchester,White,2190838
Gwent,Asian,16786
Gwent,Black,4593
Gwent,Mixed,8894
Gwent,Other,3827
Gwent,White,553586
Hampshire,Asian,94987
Hampshire,Black,29387
Hampshire,Mixed,41711
Hampshire,Other,21132
Hampshire,White,1811054
Hertfordshire,Asian,103673
Hertfordshire,Black,44893
Hertfordshire,Mixed,45127
Hertfordshire,Other,25049
Hertfordshire,White,980061
Humberside,Asian,19260
Humberside,Black,7623
Humberside,Mixed,11147
Humberside,Other,8616
Humberside,White,889233
Kent,Asian,86424
Kent,Black,56757
Kent,Mixed,44627
Kent,Other,23286
Kent,White,1644756
Lancashire,Asian,158894
Lancashire,Black,10096
Lancashire,Mixed,24761
Lancashire,Other,11861
Lancashire,White,1325538
Leicestershire,Asian,218679
Leicestershire,Black,37231
Leicestershire,Mixed,30185
Leicestershire,Other,22898
Leicestershire,White,812992
Lincolnshire,Asian,11925
Lincolnshire,Black,4366
Lincolnshire,Mixed,10192
Lincolnshire,Other,4351
Lincolnshire,White,737532
"London, City of",Asian,1445
"London, City of",Black,232
"London, City of",Mixed,470
"London, City of",Other,482
"London, City of",White,5955
Merseyside,Asian,44452
Merseyside,Black,21902
Merseyside,Mixed,30495
Merseyside,Other,21640
Merseyside,White,1304797
Metropolitan Police,Asian,1816202
Metropolitan Police,Black,1188137
Metropolitan Police,Mixed,505306
Metropolitan Police,Other,556290
Metropolitan Police,White,4725217
Norfolk,Asian,18987
Norfolk,Black,8376
Norfolk,Mixed,15081
Norfolk,Other,6530
Norfolk,White,867152
North Wales,Asian,9400
North Wales,Black,2326
North Wales,Mixed,7241
North Wales,Other,2802
North Wales,White,665147
North Yorkshire,Asian,15954
North Yorkshire,Black,3784
North Yorkshire,Mixed,10463
North Yorkshire,Other,4797
North Yorkshire,White,783322
Northamptonshire,Asian,35189
Northamptonshire,Black,31678
Northamptonshire,Mixed,20291
Northamptonshire,Other,7666
Northamptonshire,White,690422
Northumbria,Asian,60344
Northumbria,Black,17465
Northumbria,Mixed,19249
Northumbria,Other,17118
Northumbria,White,1333584
Nottinghamshire,Asian,72744
Nottinghamshire,Black,42141
Nottinghamshire,Mixed,36167
Nottinghamshire,Other,16751
Nottinghamshire,White,980656
South Wales,Asian,57023
South Wales,Black,19356
South Wales,Mixed,27547
South Wales,Other,17930
South Wales,White,1195156
South Yorkshire,Asian,79119
South Yorkshire,Black,33985
South Yorkshire,Mixed,30454
South Yorkshire,Other,25388
South Yorkshire,White,1206059
Staffordshire,Asian,54507
Staffordshire,Black,13773
Staffordshire,Mixed,21148
Staffordshire,Other,9115
Staffordshire,White,1035936
Suffolk,Asian,17485
Suffolk,Black,10168
Suffolk,Mixed,17810
Suffolk,Other,6959
Suffolk,White,708272
Surrey,Asian,92915
Surrey,Black,20832
Surrey,Mixed,40486
Surrey,Other,20241
Surrey,White,1028639
Sussex,Asian,63131
Sussex,Black,21388
Sussex,Mixed,46348
Sussex,Other,22238
Sussex,White,1552521
Thames Valley,Asian,313092
Thames Valley,Black,93215
Thames Valley,Mixed,87694
Thames Valley,Other,48796
Thames Valley,White,1972407
Warwickshire,Asian,37323
Warwickshire,Black,8018
Warwickshire,Mixed,13531
Warwickshire,Other,6231
Warwickshire,White,531672
West Mercia,Asian,35123
West Mercia,Black,11185
West Mercia,Mixed,21854
West Mercia,Other,7448
West Mercia,White,1224249
West Midlands,Asian,667315
West Midlands,Black,236047
West Midlands,Mixed,121685
West Midlands,Other,101435
West Midlands,White,1793173
West Yorkshire,Asian,372728
West Yorkshire,Black,72257
West Yorkshire,Mixed,64947
West Yorkshire,Other,40295
West Yorkshire,White,1801352
Wiltshire,Asian,38049
Wiltshire,Black,11909
Wiltshire,Mixed,15204
Wiltshire,Other,7027
Wiltshire,White,671555
