police force area,population
Avon and Somerset,1813665
Bedfordshire,749943
Cambridgeshire,933972
Cheshire,1139884
Cleveland,600369
Cumbria,510680
Derbyshire,1096526
Devon & Cornwall,1840161
Dorset,798914
Durham,650500
Dyfed-Powys,524219
Essex,1929610
Gloucestershire,669380
Greater Manchester,3009664
Gwent,601686
Hampshire,2062619
Hertfordshire,1236191
Humberside,962532
Kent,1931684
Lancashire,1601645
Leicestershire,1175364
Lincolnshire,789502
"London, City of",15111
Merseyside,1475541
Metropolitan Police,9074625
Norfolk,940359
North Wales,697115
North Yorkshire,844571
Northamptonshire,813682
Northumbria,1509809
Nottinghamshire,1188090
South Wales,1363561
South Yorkshire,1430623
Staffordshire,1177578
Suffolk,786231
Surrey,1248649
Sussex,1759789
Thames Valley,2640201
Warwickshire,632207
West Mercia,1340814
West Midlands,3036605
West Yorkshire,2435236
Wiltshire,767575
